Iteration 1, Temp 950.0000, Current Conflicts 0, Best Conflicts 0
Iteration 125, Temp 1.6423, Current Conflicts 0, Best Conflicts 0
Iteration 126, Temp 1.5602, Current Conflicts 0, Best Conflicts 0
Iteration 127, Temp 1.4822, Current Conflicts 0, Best Conflicts 0
Iteration 128, Temp 1.4081, Current Conflicts 0, Best Conflicts 0
Iteration 129, Temp 1.3377, Current Conflicts 0, Best Conflicts 0
Iteration 130, Temp 1.2708, Current Conflicts 0, Best Conflicts 0
Iteration 131, Temp 1.2072, Current Conflicts 0, Best Conflicts 0
Iteration 132, Temp 1.1469, Current Conflicts 0, Best Conflicts 0
Iteration 133, Temp 1.0895, Current Conflicts 0, Best Conflicts 0
Iteration 134, Temp 1.0351, Current Conflicts 0, Best Conflicts 0
Iteration 135, Temp 0.9833, Current Conflicts 0, Best Conflicts 0
Iteration 136, Temp 0.9341, Current Conflicts 0, Best Conflicts 0
Iteration 137, Temp 0.8874, Current Conflicts 0, Best Conflicts 0
Iteration 138, Temp 0.8431, Current Conflicts 0, Best Conflicts 0
Iteration 139, Temp 0.8009, Current Conflicts 0, Best Conflicts 0
Iteration 140, Temp 0.7609, Current Conflicts 0, Best Conflicts 0
Iteration 141, Temp 0.7228, Current Conflicts 0, Best Conflicts 0
Iteration 142, Temp 0.6867, Current Conflicts 0, Best Conflicts 0
Iteration 143, Temp 0.6523, Current Conflicts 0, Best Conflicts 0
Iteration 144, Temp 0.6197, Current Conflicts 0, Best Conflicts 0
Iteration 145, Temp 0.5887, Current Conflicts 0, Best Conflicts 0
Iteration 146, Temp 0.5593, Current Conflicts 0, Best Conflicts 0
Iteration 147, Temp 0.5313, Current Conflicts 0, Best Conflicts 0
Iteration 148, Temp 0.5048, Current Conflicts 0, Best Conflicts 0
Iteration 149, Temp 0.4795, Current Conflicts 0, Best Conflicts 0
Iteration 150, Temp 0.4556, Current Conflicts 0, Best Conflicts 0
Iteration 151, Temp 0.4328, Current Conflicts 0, Best Conflicts 0
Iteration 152, Temp 0.4111, Current Conflicts 0, Best Conflicts 0
Iteration 153, Temp 0.3906, Current Conflicts 0, Best Conflicts 0
Iteration 154, Temp 0.3711, Current Conflicts 0, Best Conflicts 0
Iteration 155, Temp 0.3525, Current Conflicts 0, Best Conflicts 0
Iteration 156, Temp 0.3349, Current Conflicts 0, Best Conflicts 0
Iteration 157, Temp 0.3181, Current Conflicts 0, Best Conflicts 0
Iteration 158, Temp 0.3022, Current Conflicts 0, Best Conflicts 0
Iteration 159, Temp 0.2871, Current Conflicts 0, Best Conflicts 0
Iteration 160, Temp 0.2728, Current Conflicts 0, Best Conflicts 0
Iteration 161, Temp 0.2591, Current Conflicts 0, Best Conflicts 0
Iteration 162, Temp 0.2462, Current Conflicts 0, Best Conflicts 0
Iteration 163, Temp 0.2339, Current Conflicts 0, Best Conflicts 0
Iteration 164, Temp 0.2222, Current Conflicts 0, Best Conflicts 0
Iteration 165, Temp 0.2111, Current Conflicts 0, Best Conflicts 0
Iteration 166, Temp 0.2005, Current Conflicts 0, Best Conflicts 0
Iteration 167, Temp 0.1905, Current Conflicts 0, Best Conflicts 0
Iteration 168, Temp 0.1810, Current Conflicts 0, Best Conflicts 0
Iteration 169, Temp 0.1719, Current Conflicts 0, Best Conflicts 0
Iteration 170, Temp 0.1633, Current Conflicts 0, Best Conflicts 0
Iteration 171, Temp 0.1551, Current Conflicts 0, Best Conflicts 0
Iteration 172, Temp 0.1474, Current Conflicts 0, Best Conflicts 0
Iteration 173, Temp 0.1400, Current Conflicts 0, Best Conflicts 0
Iteration 174, Temp 0.1330, Current Conflicts 0, Best Conflicts 0
Iteration 175, Temp 0.1264, Current Conflicts 0, Best Conflicts 0
Iteration 176, Temp 0.1200, Current Conflicts 0, Best Conflicts 0
Iteration 177, Temp 0.1140, Current Conflicts 0, Best Conflicts 0
Iteration 178, Temp 0.1083, Current Conflicts 0, Best Conflicts 0
Iteration 179, Temp 0.1029, Current Conflicts 0, Best Conflicts 0
Iteration 180, Temp 0.0978, Current Conflicts 0, Best Conflicts 0
Best schedule: {('Nancy Harris', 'Calculus'): ('true', 44), ('Valerie Salitan', 'Physics'): ('true', 18), ('Katya Henry', 'Advanced Algorithms'): ('true', 11), ('Scott Cogan', 'Machine Learning'): ('false', 17), ('Katelyn Talty', 'Applied Chemistry'): ('true', 13), ('Rebecca Archer', 'Database Management'): ('true', 14), ('Trevor Buckley', 'Discrete Mathematics'): ('true', 36), ('Jennifer Aaron', 'Software Design and Analysis'): ('true', 42), ('Nathan Nichols', 'Computer Theory'): ('false', 28), ('Karter Caldwell', 'Network Analysis'): ('true', 33), ('Gillian Auger', 'Computer Vision'): ('false', 50), ('Rena Gregory', 'Visualizations'): ('true', 41)}, Conflicts: 0
{('Nancy Harris', 'Calculus'): ('true', 44), ('Valerie Salitan', 'Physics'): ('true', 18), ('Katya Henry', 'Advanced Algorithms'): ('true', 11), ('Scott Cogan', 'Machine Learning'): ('false', 17), ('Katelyn Talty', 'Applied Chemistry'): ('true', 13), ('Rebecca Archer', 'Database Management'): ('true', 14), ('Trevor Buckley', 'Discrete Mathematics'): ('true', 36), ('Jennifer Aaron', 'Software Design and Analysis'): ('true', 42), ('Nathan Nichols', 'Computer Theory'): ('false', 28), ('Karter Caldwell', 'Network Analysis'): ('true', 33), ('Gillian Auger', 'Computer Vision'): ('false', 50), ('Rena Gregory', 'Visualizations'): ('true', 41)}
%------------backtracking_search
No solution found. When a CSP (Constraint Satisfaction Problem) fails to find a solution, it's often due to overly restrictive constraints or insufficiently flexible domains.

Next Step: BT with heuristic and ignore room constraints
Heuristics: Implemented Most Constrained Variable (MCV) and Least Constraining Value (LCV) heuristics.
Relaxing Constraints: The constraints can be temporarily relaxed to explore more solutions. This can be done by commenting out one of the constraints in the constraints dictionary.
Incremental Constraints: You can start with a subset of constraints and add more as solutions are found to identify overly restrictive constraints.

Next step: BT with relax constrains such as ignore room constraints 
but still no solution found

next step: BT with sa 

